ID_Uzorka,GPS_LAT,GPS_LONG,Dubina_Busenja_cm,Temp_Tla_C,pH_Vrijednost,H2O_Postotak,Metan_Senzor,Organske_Molekule
26,18.489043,77.385626,14.9,-62.5,7.24,1.65,Negativno,Ne
27,18.474912,77.386245,2.6,-44.3,7.18,1.84,Negativno,Ne
28,18.476359,77.393571,9.4,-51.2,6.9,1.39,Negativno,Ne
29,18.492141,77.384845,0.5,-50.7,7.6,2.18,Negativno,Ne
30,18.494991,77.397638,1.7,-36.7,6.95,2.47,Negativno,Ne
31,18.480288,77.363016,12.8,-57.6,7.12,2.12,Negativno,Ne
32,18.471004,77.377982,10.3,-43.8,7.32,3.76,Negativno,Ne
33,18.482353,77.373222,8.6,-44.9,7.16,2.48,Negativno,Ne
34,18.46829,77.398824,14.7,-42.4,6.38,4.27,Negativno,Ne
35,18.487535,77.380504,7.2,-39.7,7.4,1.33,Negativno,Ne
36,18.46667,77.378436,13.2,-53.2,6.15,0.47,Negativno,Ne
37,18.480896,77.370447,8.3,-63.5,6.47,2.16,Negativno,Ne
38,18.481483,77.412784,13.4,-52.6,6.57,0.7,Negativno,Ne
39,18.478709,77.387575,4.4,-13.9,7.17,5.41599424871065,Pozitivno,Da
40,18.465153,77.382698,11.1,-40.4,6.53,6.0,Negativno,Ne
41,18.460212,77.415845,8.0,-62.6,6.2,5.43,Negativno,Ne
42,18.470501,77.396499,2.6,-48.6,7.35,3.52,Negativno,Ne
43,18.470655,77.392094,7.7,-57.6,7.54,3.87,Negativno,Ne
44,18.483011,77.385384,4.4,-66.7,7.55,2.4,Negativno,Ne
45,18.488079,77.385896,11.4,-52.1,8.0,2.23,Negativno,Ne
46,18.468089,77.394744,9.9,-45.0,7.22,2.97,Negativno,Ne
47,18.481361,77.381246,2.2,-32.7,6.81,0.16,Pozitivno,Ne
48,18.474703,77.389644,10.1,-61.4,6.26,1.68,Negativno,Ne
49,18.460446,77.3968,4.8,-52.4,7.72,4.99,Negativno,Ne
50,18.490761,77.388078,9.2,-65.7,6.39,0.62,Negativno,Ne
51,18.477845,77.388607,8.6,-9.0,6.96,8.52599424871065,Pozitivno,Da
52,18.46214,77.395131,8.2,-68.0,6.15,3.91,Negativno,Ne
53,18.498464,77.384294,14.7,-35.0,6.94,0.48,Negativno,Ne
54,18.482499,77.384779,12.4,-57.4,6.6,2.65,Pozitivno,Ne
55,18.497012,77.38786,13.3,-44.6,7.87,5.78,Negativno,Ne
56,18.490812,77.387704,12.9,-37.1,6.67,2.65,Negativno,Ne
57,18.478737,77.378759,4.5,-45.7,7.04,3.31,Negativno,Ne
58,18.468291,77.399812,3.8,-25.5,7.88,0.14,Negativno,Ne
59,18.483198,77.408863,10.9,-24.6,6.9,1.47,Negativno,Ne
60,18.499519,77.390456,2.4,-58.7,7.34,3.1,Negativno,Ne
61,18.470238,77.389401,14.3,-58.3,7.17,3.87,Negativno,Ne
62,18.492677,77.408453,7.2,-75.5,7.27,4.43,Negativno,Ne
63,18.495216,77.38465,4.3,-70.6,7.41,6.0,Negativno,Ne
64,18.491209,77.365604,1.8,-47.1,7.51,2.93,Negativno,Da
65,18.480161,77.403948,7.7,-58.6,6.49,0.39,Negativno,Ne
66,18.469908,77.3786,11.5,-73.4,7.91,3.55,Negativno,Ne
67,18.469683,77.394108,0.5,-51.8,6.61,5.25,Negativno,Da
68,18.476871,77.384299,7.8,-63.4,6.2,5.07,Negativno,Ne
69,18.489254,77.38214,5.9,-41.6,6.91,5.93,Negativno,Ne
70,18.478969,77.386854,11.4,-66.8,6.86,0.21,Negativno,Ne
71,18.469981,77.39501,7.7,-21.3,7.21,2.27,Negativno,Ne
72,18.481023,77.392992,0.8,-61.8,7.03,1.4,Negativno,Ne
73,18.484914,77.394871,11.9,-43.5,7.03,5.08,Negativno,Ne
74,18.468459,77.391077,6.3,-50.5,6.51,0.96,Negativno,Ne
75,18.478459,77.390245,3.8,-19.5,6.9,5.57599424871065,Pozitivno,Da
76,18.463622,77.407074,5.3,-50.3,6.02,0.84,Negativno,Ne
77,18.470273,77.384663,12.1,-67.4,5.98,4.49,Negativno,Ne
78,18.474268,77.38493,3.8,-23.6,6.94,1.12,Negativno,Ne
79,18.476736,77.386165,1.8,-30.8,7.17,5.83,Negativno,Ne
80,18.486063,77.385085,4.2,-40.8,7.18,0.47,Negativno,Ne
81,18.468834,77.374272,2.7,-33.0,7.47,3.76,Negativno,Ne
82,18.484128,77.4129,5.4,-62.9,7.68,4.09,Negativno,Ne
83,18.489169,77.394282,14.6,-38.1,7.02,4.01,Negativno,Ne
84,18.469946,77.391964,9.5,-87.2,7.04,0.75,Negativno,Ne
85,18.480509,77.393374,4.0,-34.2,6.78,5.17,Negativno,Ne
86,18.475252,77.382705,12.3,-40.0,7.83,4.72,Negativno,Ne
87,18.483689,77.388954,2.3,-69.1,8.18,3.26,Negativno,Da
88,18.473998,77.39362,14.1,-60.3,7.57,4.94,Negativno,Ne
89,18.483877,77.390161,10.1,-40.0,7.32,2.4,Negativno,Ne
90,18.476612,77.391935,1.9,-94.6,8.29,0.89,Negativno,Ne
91,18.462436,77.375136,1.9,-65.8,6.81,4.6,Negativno,Ne
92,18.470708,77.371571,11.8,-44.2,7.29,3.58,Negativno,Ne
93,18.479376,77.377484,9.4,-48.1,7.38,0.66,Negativno,Ne
94,18.461598,77.371814,10.4,-42.9,7.72,0.39,Negativno,Ne
95,18.483758,77.379065,3.1,-55.0,7.16,0.5,Negativno,Ne
96,18.463853,77.402106,12.9,-67.5,8.18,2.84,Negativno,Ne
97,18.488519,77.39735,3.0,-62.2,7.63,3.05,Negativno,Ne
98,18.477718,77.38035,1.2,-63.9,6.82,0.14,Negativno,Ne
99,18.468385,77.392004,14.0,-18.0,6.86,0.67,Negativno,Ne
100,18.485086,77.387563,6.9,-9.6,7.54,0.16,Negativno,Ne
101,18.49344,77.39806,0.7,-23.1,6.28,2.33,Negativno,Ne
102,18.487375,77.392385,12.0,-74.7,6.16,5.2,Negativno,Ne
103,18.477397,77.385356,5.7,-32.3,6.09,1.67,Negativno,Da
104,18.483479,77.393648,11.9,-68.3,6.74,2.0,Negativno,Ne
105,18.4712,77.379149,11.5,-65.7,7.03,4.65,Negativno,Ne
106,18.486847,77.398361,4.0,-50.9,6.87,3.57,Negativno,Ne
107,18.476304,77.412386,10.5,-50.3,6.91,1.43,Negativno,Ne
108,18.483153,77.395283,2.0,-43.4,6.2,4.85,Negativno,Ne
109,18.48097,77.388763,8.0,-62.2,6.91,1.98,Negativno,Ne
110,18.494912,77.388128,8.3,-46.9,6.64,2.31,Negativno,Ne
111,18.465996,77.406242,13.9,-40.5,6.6,4.49,Negativno,Ne
112,18.480046,77.387935,8.2,-13.1,6.57,6.115994248710649,Pozitivno,Da
113,18.478564,77.378026,11.1,-52.8,6.83,1.56,Negativno,Ne
114,18.490746,77.375433,5.9,-58.0,6.82,3.58,Negativno,Ne
115,18.480825,77.389475,0.4,-59.8,6.85,2.68,Negativno,Ne
116,18.485899,77.392607,14.5,-49.9,5.67,3.0,Negativno,Ne
117,18.474717,77.384751,0.3,-44.8,6.66,0.94,Negativno,Ne
118,18.492392,77.378203,12.7,-39.6,7.98,5.8,Negativno,Ne
119,18.483715,77.393236,7.5,-26.8,7.15,2.34,Negativno,Ne
120,18.502526,77.406496,9.8,-42.1,6.41,3.57,Negativno,Ne
121,18.483032,77.388917,4.7,-51.2,7.55,1.32,Negativno,Ne
122,18.474039,77.391558,0.6,-55.2,6.52,2.48,Negativno,Ne
123,18.498687,77.396615,5.5,-58.4,6.97,4.82,Negativno,Ne
124,18.500845,77.37141,8.1,-30.9,6.6,3.56,Negativno,Ne
125,18.469483,77.383719,8.9,-28.8,7.25,5.05,Pozitivno,Ne
126,18.482966,77.391216,7.8,-40.1,6.93,0.57,Negativno,Ne
127,18.487841,77.388202,0.7,-40.7,7.51,3.58,Negativno,Ne
128,18.491395,77.402692,2.7,-56.1,6.93,5.88,Negativno,Ne
129,18.457847,77.39555,11.8,-64.0,7.06,2.34,Negativno,Ne
130,18.490162,77.406709,6.7,-54.2,7.37,1.65,Negativno,Ne
131,18.479755,77.399435,5.6,-48.1,7.07,3.41,Negativno,Ne
132,18.471402,77.372925,13.1,-39.7,6.6,1.16,Negativno,Ne
133,18.469242,77.370846,4.9,-46.9,7.41,4.6,Negativno,Ne
134,18.467409,77.404573,5.0,-45.4,6.74,1.54,Pozitivno,Ne
135,18.495441,77.384937,1.4,-56.6,5.51,1.76,Negativno,Ne
136,18.467929,77.390686,8.6,-69.1,7.88,0.72,Negativno,Ne
137,18.494285,77.389971,4.7,-50.0,7.19,0.51,Negativno,Ne
138,18.485647,77.397381,8.6,-69.4,6.73,2.57,Negativno,Ne
139,18.490549,77.373734,9.8,-38.4,6.31,2.54,Negativno,Ne
140,18.484484,77.393442,2.2,-68.1,7.24,4.8,Negativno,Ne
141,18.499022,77.387081,4.4,-64.9,7.85,3.8,Negativno,Ne
142,18.478122,77.387585,12.9,-16.0,7.11,9.15599424871065,Pozitivno,Da
143,18.464358,77.388626,1.9,-45.9,7.02,3.53,Negativno,Ne
144,18.462707,77.395581,10.6,-71.1,7.65,5.72,Pozitivno,Ne
145,18.466299,77.387482,13.9,-55.6,7.31,5.98,Negativno,Ne
146,18.478337,77.373975,0.4,-74.3,7.05,3.96,Negativno,Ne
147,18.461455,77.38719,9.4,-61.5,6.65,4.85,Negativno,Ne
148,18.473819,77.385826,11.0,-50.5,6.79,1.5,Negativno,Ne
149,18.463393,77.385652,7.7,-43.8,6.87,0.21,Negativno,Ne
150,18.476951,77.391529,8.0,-40.9,7.21,5.31,Negativno,Ne
151,18.471804,77.389405,10.6,-16.4,6.1,3.31,Negativno,Ne
152,18.487823,77.379587,11.0,-42.4,6.79,5.38,Negativno,Ne
153,18.474717,77.386687,13.4,-59.6,7.21,2.83,Negativno,Ne
154,18.480419,77.394201,14.2,-39.3,6.62,1.19,Negativno,Ne
155,18.473381,77.378894,0.1,-47.8,7.21,4.06,Negativno,Ne
156,18.477284,77.372793,3.5,-53.3,7.41,0.73,Negativno,Ne
157,18.495121,77.379633,5.7,-32.9,6.91,5.73,Negativno,Ne
158,18.49524,77.371859,9.9,-64.2,7.69,0.38,Negativno,Ne
159,18.481032,77.386056,14.7,-59.5,7.53,3.36,Negativno,Ne
160,18.479925,77.386557,13.5,-39.9,7.29,2.41,Negativno,Ne
161,18.476118,77.380386,5.7,-26.6,6.61,1.23,Negativno,Ne
162,18.486101,77.400312,10.2,-42.8,7.55,1.47,Negativno,Ne
163,18.502888,77.39315,4.9,-52.0,6.69,2.72,Negativno,Ne
164,18.477434,77.389466,12.2,-8.8,6.07,5.07599424871065,Pozitivno,Da
165,18.49136,77.390202,2.2,-40.7,6.84,3.88,Negativno,Ne
166,18.467309,77.379433,11.2,-54.5,6.97,1.61,Negativno,Ne
167,18.47019,77.384159,3.7,-52.4,6.21,5.87,Negativno,Da
168,18.478417,77.391763,0.5,-37.6,7.06,1.47,Negativno,Ne
169,18.486258,77.402062,1.2,-56.1,6.79,3.97,Negativno,Ne
170,18.475184,77.39707,3.6,-22.5,7.3,3.56,Negativno,Ne
171,18.482466,77.39461,15.0,-74.8,6.1,5.09,Pozitivno,Ne
172,18.481264,77.396802,6.8,-19.2,8.0,8.449470044986455,Pozitivno,Da
173,18.478031,77.395784,12.9,-65.6,7.49,5.96,Negativno,Ne
174,18.47848,77.385042,11.6,-49.0,6.51,3.46,Negativno,Ne
175,18.487244,77.39542,14.2,-46.6,7.06,3.57,Negativno,Ne
176,18.475801,77.38854,12.6,-60.7,7.92,2.14,Negativno,Ne
177,18.47457,77.395951,3.6,-28.1,6.78,2.66,Negativno,Ne
178,18.499673,77.385208,6.8,-29.3,6.92,3.15,Negativno,Ne
179,18.497196,77.403027,8.3,-54.9,6.8,4.6,Negativno,Ne
180,18.467522,77.375714,5.3,-56.6,7.69,4.45,Negativno,Ne
181,18.479824,77.401598,8.0,-54.2,6.33,4.12,Negativno,Ne
182,18.48559,77.383447,12.0,-47.3,7.68,1.32,Negativno,Ne
183,18.48094,77.377074,9.1,-53.5,7.38,0.67,Negativno,Ne
184,18.482919,77.385372,3.2,-9.6,7.03,2.69,Negativno,Ne
185,18.482829,77.377547,6.5,-35.8,7.19,1.89,Negativno,Ne
186,18.473552,77.406288,12.4,-45.4,7.69,3.77,Negativno,Ne
187,18.470942,77.391476,9.5,-48.2,7.17,3.49,Negativno,Ne
188,18.478847,77.387717,2.2,-17.5,6.2,9.42599424871065,Pozitivno,Da
189,18.484218,77.392469,13.9,-33.9,7.02,2.49,Negativno,Ne
190,18.485434,77.38033,6.2,-66.9,6.92,0.47,Negativno,Ne
191,18.486502,77.405837,12.7,-40.9,7.9,1.98,Negativno,Ne
192,18.475619,77.382064,14.4,-61.5,7.5,5.27,Negativno,Ne
193,18.482125,77.390938,5.3,-59.3,7.39,0.11,Negativno,Ne
194,18.483537,77.387988,0.9,-71.1,7.65,1.25,Negativno,Ne
195,18.479816,77.364594,11.0,-61.0,7.02,0.95,Negativno,Ne
196,18.484179,77.388813,0.9,-48.2,6.69,0.21,Negativno,Ne
198,18.476489,77.386763,1.0,-29.9,6.72,1.95,Negativno,Ne
199,18.477696,77.393395,6.6,-45.6,6.56,3.23,Negativno,Ne
200,18.491994,77.384148,5.8,-52.9,7.06,3.57,Negativno,Ne
201,18.4737,77.378558,11.7,-47.8,6.47,3.14,Negativno,Ne
202,18.473284,77.405367,11.6,-27.3,6.24,1.82,Pozitivno,Ne
203,18.476032,77.382308,8.0,-57.2,6.63,0.23,Negativno,Ne
204,18.479948,77.402714,7.2,-36.8,7.46,2.79,Negativno,Ne
205,18.48728,77.395049,14.0,-75.4,6.94,5.38,Negativno,Ne
206,18.481569,77.390774,14.7,-42.6,7.75,2.15,Negativno,Ne
207,18.485083,77.374142,12.3,-15.7,7.5,3.56,Negativno,Ne
208,18.488094,77.395486,13.5,-58.2,7.33,2.25,Negativno,Ne
209,18.470224,77.401475,13.0,-25.7,7.1,1.06,Negativno,Ne
210,18.472517,77.381702,14.9,-36.6,6.53,5.27,Negativno,Ne
211,18.484718,77.407786,1.7,-54.8,6.11,4.92,Negativno,Ne
212,18.474008,77.400208,8.8,-67.2,6.75,3.01,Negativno,Ne
213,18.496889,77.393685,12.7,-58.1,7.46,3.52,Negativno,Ne
214,18.468442,77.386302,14.1,-65.8,7.16,3.14,Negativno,Ne
215,18.49074,77.393708,5.7,-37.6,7.14,1.72,Negativno,Ne
216,18.47499,77.388186,0.2,-23.6,6.38,1.34,Negativno,Ne
217,18.498219,77.410432,12.7,-38.8,7.05,0.15,Negativno,Ne
218,18.490846,77.396179,4.4,-10.8,6.73,4.342348997234859,Pozitivno,Da
219,18.471635,77.379683,12.7,-58.1,6.61,3.16,Negativno,Ne
220,18.506351,77.397787,10.5,-27.4,6.76,1.45,Negativno,Ne
221,18.474117,77.389703,1.7,-18.3,7.59,1.73,Negativno,Ne
222,18.480287,77.389209,11.8,-6.9,6.6,5.21599424871065,Pozitivno,Da
223,18.477013,77.377462,0.3,-47.9,7.1,3.31,Negativno,Da
224,18.472265,77.387881,11.6,-26.0,7.02,1.82,Pozitivno,Ne
225,18.471228,77.382508,6.4,-45.8,6.3,1.05,Negativno,Ne
226,18.488056,77.384935,6.8,-72.5,6.15,2.45,Negativno,Ne
227,18.490581,77.393068,0.9,-61.6,7.66,1.02,Negativno,Ne
228,18.479374,77.409836,7.0,-59.3,7.21,3.18,Negativno,Ne
229,18.484411,77.378981,4.6,-54.1,7.36,0.75,Negativno,Ne
230,18.472422,77.402936,10.5,-35.5,7.7,5.88,Negativno,Ne
231,18.494398,77.396814,6.6,-79.2,7.38,1.65,Negativno,Ne
232,18.492439,77.396987,7.0,-16.8,7.69,6.422348997234859,Pozitivno,Da
233,18.484267,77.374587,8.0,-56.0,6.67,5.96,Negativno,Ne
234,18.476256,77.388266,13.4,-41.1,6.53,3.41,Negativno,Ne
235,18.478919,77.388135,2.8,-11.5,7.17,7.29599424871065,Pozitivno,Da
236,18.474815,77.390539,0.3,-49.6,7.18,0.97,Negativno,Ne
237,18.47499,77.395683,3.8,-67.3,7.01,2.77,Negativno,Ne
238,18.479753,77.375773,11.1,-46.4,7.29,3.37,Negativno,Ne
239,18.486022,77.400311,5.9,-27.8,6.26,3.02,Negativno,Ne
240,18.491227,77.387331,0.4,-64.0,7.04,0.63,Negativno,Ne
241,18.484667,77.385667,8.3,-39.8,7.21,0.58,Negativno,Ne
242,18.471558,77.375686,0.2,-52.4,6.82,3.22,Negativno,Ne
243,18.457847,77.401172,13.5,-22.7,7.04,5.98,Negativno,Ne
244,18.47156,77.391851,9.5,-48.3,7.12,2.3,Negativno,Da
245,18.484613,77.380838,5.4,-62.9,7.57,1.93,Negativno,Ne
246,18.463505,77.390538,4.0,-66.9,6.43,1.61,Negativno,Ne
247,18.490805,77.394585,3.2,-49.2,7.35,4.94,Negativno,Ne
248,18.479736,77.384786,10.9,-51.1,7.68,2.72,Negativno,Ne
249,18.479964,77.398161,9.0,-17.5,7.68,10.289470044986455,Pozitivno,Da
250,18.482973,77.401138,6.8,-52.0,6.92,5.45,Negativno,Ne
251,18.465774,77.392927,12.8,-38.1,6.69,5.99,Negativno,Ne
252,18.504529,77.401373,3.3,-50.1,7.04,1.05,Negativno,Ne
253,18.475956,77.395585,6.2,-32.1,6.81,2.09,Negativno,Ne
254,18.497332,77.391768,1.7,-61.3,6.76,0.35,Negativno,Ne
255,18.460109,77.385943,10.5,-40.7,6.43,2.21,Negativno,Ne
256,18.482094,77.387761,11.5,-61.5,7.02,3.64,Negativno,Ne
257,18.478635,77.378845,10.9,-68.9,6.23,1.29,Negativno,Ne
258,18.467686,77.401315,3.7,-78.0,6.61,2.04,Negativno,Ne
259,18.486543,77.385428,10.1,-50.3,7.49,4.68,Negativno,Ne
260,18.480568,77.386928,1.4,-46.3,7.57,2.65,Negativno,Ne
261,18.484046,77.364259,6.7,-51.6,7.2,1.51,Negativno,Ne
262,18.465522,77.396031,5.1,-44.6,7.24,2.6,Negativno,Ne
263,18.481447,77.397401,7.6,-11.0,6.24,5.989470044986455,Pozitivno,Da
264,18.487381,77.388511,11.3,-41.6,7.63,5.83,Negativno,Ne
265,18.48684,77.395842,1.3,-76.8,6.88,2.44,Negativno,Ne
266,18.485398,77.403657,7.6,-30.8,6.12,3.44,Negativno,Ne
267,18.462297,77.389167,1.9,-43.8,7.16,5.71,Pozitivno,Ne
268,18.482287,77.397704,1.0,-16.1,7.23,7.139470044986456,Pozitivno,Da
269,18.490278,77.385321,10.9,-50.7,6.78,5.31,Negativno,Ne
270,18.475405,77.38958,10.8,-71.7,7.12,2.05,Negativno,Ne
271,18.479515,77.389914,5.8,-17.8,7.58,6.3459942487106495,Pozitivno,Da
272,18.486863,77.383904,6.2,-76.7,6.88,0.92,Negativno,Ne
273,18.48203,77.385508,4.0,-33.3,7.16,0.57,Negativno,Ne
274,18.455145,77.393338,14.8,-32.5,6.97,2.79,Negativno,Ne
275,18.475276,77.393559,10.3,-49.1,7.35,5.72,Negativno,Ne
276,18.499693,77.384143,2.3,-18.6,6.61,3.9,Negativno,Ne
277,18.482599,77.388357,13.8,-45.1,7.76,3.2,Negativno,Ne
278,18.479318,77.383076,0.2,-40.5,7.16,2.64,Negativno,Ne
279,18.472662,77.391486,14.3,-69.5,7.0,2.67,Negativno,Ne
280,18.474897,77.392444,2.3,-38.6,7.74,5.47,Negativno,Ne
281,18.484754,77.403745,4.7,-38.1,7.08,1.29,Negativno,Ne
282,18.503387,77.37379,8.5,-75.3,6.58,0.66,Negativno,Ne
283,18.480715,77.388546,5.9,-10.3,6.62,9.87599424871065,Pozitivno,Da
284,18.48447,77.393265,11.5,-39.3,7.22,3.52,Negativno,Ne
285,18.483471,77.390061,3.3,-52.2,6.54,1.15,Negativno,Ne
286,18.485486,77.398179,0.2,-55.8,7.16,5.97,Negativno,Ne
287,18.49035,77.384204,8.1,-27.7,6.69,3.24,Negativno,Ne
288,18.472649,77.389921,13.6,-65.3,7.03,4.73,Negativno,Ne
289,18.492531,77.386429,13.9,-67.0,7.01,5.6,Negativno,Ne
290,18.478377,77.396375,8.0,-54.8,7.36,3.73,Negativno,Ne
291,18.479993,77.391287,4.1,-65.8,5.82,3.16,Negativno,Ne
292,18.479413,77.378591,0.8,-85.0,7.09,1.65,Negativno,Ne
293,18.480097,77.382388,10.1,-50.9,6.69,3.46,Negativno,Ne
294,18.487977,77.388667,4.6,-58.4,7.05,2.0,Pozitivno,Ne
295,18.466224,77.372002,2.5,-25.6,7.2,2.4,Negativno,Ne
296,18.475877,77.399239,11.3,-80.4,7.15,4.2,Negativno,Ne
297,18.485124,77.37866,2.4,-66.2,6.8,3.31,Negativno,Ne
298,18.490785,77.382985,10.8,-33.4,7.05,0.46,Negativno,Ne
299,18.474351,77.390624,14.6,-36.0,7.74,3.42,Negativno,Ne
300,18.473649,77.398918,7.3,-35.3,6.56,6.0,Negativno,Ne
301,18.486513,77.392923,4.7,-63.9,7.08,3.89,Negativno,Ne
302,18.485796,77.389273,11.3,-31.8,6.61,1.94,Negativno,Ne
303,18.478449,77.38781,2.4,-5.3,7.66,8.21599424871065,Pozitivno,Da
304,18.498867,77.399068,3.9,-49.0,6.97,5.98,Negativno,Da
305,18.46645,77.39649,4.5,-30.0,7.38,5.76,Negativno,Ne
306,18.475407,77.395166,2.9,-49.9,6.5,5.17,Negativno,Ne
307,18.484886,77.384195,13.9,-60.5,6.22,5.13,Negativno,Ne
308,18.477206,77.399221,1.5,-64.2,7.15,0.14,Negativno,Ne
309,18.487805,77.414869,14.6,-37.9,7.09,4.49,Negativno,Ne
310,18.473804,77.402169,10.3,-25.8,7.17,2.81,Negativno,Ne
311,18.489097,77.406292,6.3,-68.8,7.6,3.36,Pozitivno,Ne
312,18.480984,77.403007,6.6,-31.9,7.71,5.03,Negativno,Ne
313,18.47558,77.393177,3.0,-73.4,7.13,0.7,Negativno,Ne
314,18.479112,77.399822,1.5,-67.2,6.7,1.93,Negativno,Ne
315,18.470489,77.393094,14.5,-78.0,6.88,1.43,Negativno,Ne
316,18.465819,77.382295,7.0,-39.7,7.37,2.05,Pozitivno,Da
317,18.458738,77.39413,5.3,-64.2,6.55,0.47,Pozitivno,Ne
318,18.495791,77.392657,4.9,-46.3,7.75,3.69,Negativno,Ne
319,18.489883,77.383809,11.3,-59.9,7.87,3.85,Negativno,Ne
320,18.484327,77.372377,14.4,-56.3,6.91,5.49,Negativno,Ne
321,18.468816,77.390104,11.7,-88.5,7.19,0.45,Pozitivno,Ne
322,18.486034,77.394245,6.1,-67.3,7.17,5.4,Negativno,Ne
323,18.499273,77.390492,12.0,-43.5,7.06,3.76,Negativno,Ne
324,18.480468,77.39544,8.0,-46.0,7.42,4.38,Negativno,Ne
325,18.504014,77.369271,4.7,-64.5,6.54,4.15,Negativno,Ne
326,18.510177,77.380238,7.4,-54.9,7.73,4.27,Negativno,Ne
327,18.485246,77.390228,8.5,-60.3,5.96,5.34,Negativno,Ne
328,18.483919,77.373964,4.3,-52.7,7.27,0.47,Negativno,Ne
329,18.499701,77.395237,13.8,-33.6,7.2,1.14,Negativno,Ne
330,18.480016,77.387886,2.4,-7.9,5.88,9.885994248710649,Pozitivno,Da
331,18.492923,77.408648,2.3,-73.1,7.35,5.82,Negativno,Ne
332,18.475439,77.383133,14.2,-47.8,6.17,1.04,Negativno,Ne
333,18.469366,77.385573,6.2,-29.4,7.16,5.3,Negativno,Ne
334,18.480332,77.410194,8.0,-50.7,6.13,5.41,Negativno,Ne
335,18.477871,77.387022,14.3,-27.4,7.77,2.81,Negativno,Ne
336,18.486571,77.403052,10.4,-36.7,6.79,2.29,Negativno,Ne
337,18.473201,77.382642,12.5,-65.3,6.84,2.8,Negativno,Ne
338,18.481655,77.397465,3.9,-19.1,7.74,9.949470044986455,Pozitivno,Da
339,18.484675,77.392476,9.7,-52.6,6.91,4.93,Negativno,Ne
340,18.485984,77.399617,10.1,-66.0,7.97,4.25,Negativno,Ne
341,18.473189,77.382019,2.4,-40.9,6.05,0.76,Negativno,Ne
342,18.475186,77.386708,4.7,-47.0,6.99,5.97,Negativno,Ne
343,18.4845,77.39436,11.0,-51.4,7.48,4.25,Negativno,Ne
345,18.474937,77.392652,12.8,-47.3,7.08,2.41,Negativno,Ne
346,18.496344,77.412715,10.0,-38.4,7.26,3.64,Negativno,Ne
347,18.489925,77.386597,1.2,-65.6,7.29,2.14,Negativno,Ne
348,18.475849,77.373978,11.6,-38.2,7.65,4.35,Negativno,Ne
349,18.469881,77.386853,5.2,-46.7,6.58,1.74,Negativno,Ne
350,18.487014,77.382929,4.6,-62.8,6.41,3.54,Negativno,Ne
351,18.489883,77.39372,11.1,-27.5,7.68,2.59,Negativno,Ne
352,18.482764,77.396684,1.8,-11.6,7.82,7.279470044986455,Pozitivno,Da
353,18.48079,77.374271,5.0,-36.7,7.0,3.32,Negativno,Ne
354,18.481612,77.400352,8.7,-42.1,7.02,0.82,Negativno,Ne
355,18.498165,77.398993,2.3,-35.9,6.94,5.69,Negativno,Ne
356,18.478425,77.391375,8.5,-29.8,7.05,3.32,Negativno,Ne
357,18.479523,77.387348,7.9,-19.0,7.32,5.65599424871065,Pozitivno,Da
358,18.474594,77.396388,13.8,-41.3,7.53,2.88,Negativno,Ne
359,18.473568,77.396132,8.0,-75.8,6.4,5.45,Negativno,Ne
360,18.494341,77.37974,9.2,-43.4,7.75,4.69,Negativno,Ne
361,18.474961,77.397852,10.0,-51.5,7.44,0.97,Negativno,Ne
362,18.480459,77.401796,10.2,-50.1,6.79,2.71,Negativno,Ne
